Data;Nota;Título;Preço Venda
01/04/2025;307;ASCENSAO DO RESTO, A;70,4
05/05/2025;308;CIÊNCIA, EDUCAÇÃO E LIVROS DIDÁTICOS DO SÉCULO XIX;28
04/04/2025;309;Promocional;5
04/04/2025;309;Uma estratégia para o Ocidente: o conceito de democracia em GRAMSCI e o PCB;24
04/04/2025;310;1a ed. TEMAS ATUAIS EM DIDATICA;28,8
04/04/2025;311;Discussões tusculanas;36,6
04/04/2025;313;promocional;5
07/04/2025;314;As leis;53,3
09/04/2025;315;PODE O SUBALTERNO FALAR?;24,8
10/04/2025;316;SOCIOLOGIA DO DESCONHECIMENTO;54,4
10/04/2025;316;TRANSICAO E PERMANENCIA;54,4
10/04/2025;317;TRANSICAO E PERMANENCIA;54,4
11/04/2025;319;Transmissão de energia elétrica;50
11/04/2025;320;Transmissão de energia elétrica;50
15/04/2025;321;Transmissão de energia elétrica;50
11/04/2025;322;Transmissão de energia elétrica;54,4
11/04/2025;322;Promocional;5
11/04/2025;322;Promocional;5
11/04/2025;322;Promocional;5
11/04/2025;322;Promocional;5
11/04/2025;322;Promocional;5
14/04/2025;323;FILOSOFIA DE MICHEL FOUCAULT,;49
14/04/2025;323;EXPERIENCIA INDIZIVEL, A;51
14/04/2025;324;FILOSOFIA DE MICHEL FOUCAULT,;49,6
05/05/2025;325;Ensaios sobre língua e linguagem;63,6
05/05/2025;325;Encontro na LINGUAGEM;15
14/04/2025;326;Ensinando tradução: programas, disciplinas e abordagens pedagógicas;57
14/04/2025;326;Ensino de tradução: proposições didáticas;43,3
16/04/2025;327;1a ed. BIOTECNOLOGIAS - NOVOS DESAFIOS E NOVA RESPONSABILIDADE A LUZ DA ETICA DE HANS JONAS;60
16/04/2025;328;promocional ;5
16/04/2025;328;promocional;5
16/04/2025;329;1a ed. ECOLOGIA COMPORTAMENTAL: UMA CONVERSA SOBRE BIOLOGIA EVOLUTIVA;74
23/04/2025;330;1a ed. ECOLOGIA COMPORTAMENTAL: UMA CONVERSA SOBRE BIOLOGIA EVOLUTIVA;74
24/04/2025;331;SEGREDOS DAS PALAVRAS, OS;39,2
25/04/2025;332;MUNDO DE PARMENIDES - 2. EDICA;73,6
25/04/2025;332;CIENCIA E AS CIENCIAS, A;36
28/04/2025;333;Promocional;5
28/04/2025;333;Promocional;5
28/04/2025;335;Promocional;5
28/04/2025;336;Transmissão de energia elétrica;50
30/04/2025;337;Discussões tusculanas;55
30/04/2025;338;Transmissão de energia elétrica;50
30/04/2025;339;Transmissão de energia elétrica;50
30/04/2025;340;1a ed. ECOLOGIA COMPORTAMENTAL: UMA CONVERSA SOBRE BIOLOGIA EVOLUTIVA;51,8
30/04/2025;341;1a ed. ECOLOGIA COMPORTAMENTAL: UMA CONVERSA SOBRE BIOLOGIA EVOLUTIVA;51,8
