ISBN,DATA,N-NF,Editora,EXEMPLARES, PREÇO VENDA ,TOTAL
9788570784780.0,2024-07-01,1.0,EDUFU,1.0," R$ 50,00 ",50.0
9786558240228.0,2024-07-09,2.0,EDUFU,2.0," R$ 30,00 ",60.0
9786558240433.0,2024-07-01,2.0,EDUFU,1.0," R$ 50,00 ",50.0
9786558240228.0,2024-07-09,3.0,EDUFU,1.0," R$ 30,00 ",30.0
9786588055038.0,2024-07-01,4.0,EDUFU,1.0," R$ 56,67 ",56.67
9786558240433.0,2024-07-04,5.0,EDUFU,1.0," R$ 50,00 ",50.0
9786558240327.0,2024-07-04,6.0,EDUFU,1.0," R$ 30,00 ",30.0
9786558240082.0,2024-07-04,7.0,EDUFU,1.0," R$ 33,33 ",33.33
9780000000000.0,2024-07-04,8.0,EDUFU,1.0," R$ 5,00 ",5.0
9786588055045.0,2024-07-04,9.0,EDUFU,1.0," R$ 50,00 ",50.0
9786558240228.0,2024-07-04,10.0,EDUFU,3.0," R$ 30,00 ",90.0
9786558240228.0,2024-07-04,13.0,EDUFU,1.0," R$ 30,00 ",30.0
9786558240051.0,2024-07-04,13.0,EDUFU,1.0," R$ 63,67 ",63.67
9786558240228.0,2024-07-04,14.0,EDUFU,3.0," R$ 30,00 ",90.0
9786558240228.0,2024-07-04,15.0,EDUFU,1.0," R$ 30,00 ",30.0
9786558240228.0,2024-07-04,16.0,EDUFU,3.0," R$ 30,00 ",90.0
9786558240228.0,2024-07-08,17.0,EDUFU,4.0," R$ 30,00 ",120.0
9786558240228.0,2024-07-09,18.0,EDUFU,2.0," R$ 30,00 ",60.0
9786558240228.0,2024-07-09,19.0,EDUFU,1.0," R$ 30,00 ",30.0
9786558240228.0,2024-07-09,20.0,EDUFU,1.0," R$ 30,00 ",30.0
9786558240228.0,2024-07-09,21.0,EDUFU,1.0," R$ 30,00 ",30.0
9786558240433.0,2024-07-09,22.0,EDUFU,1.0," R$ 50,00 ",50.0
9780000000000.0,2024-07-09,23.0,EDUFU,1.0," R$ 5,00 ",5.0
9786558240228.0,2024-07-09,24.0,EDUFU,2.0," R$ 30,00 ",60.0
9786558240228.0,2024-07-17,25.0,EDUFU,1.0," R$ 30,00 ",30.0
9786558240228.0,2024-07-19,26.0,EDUFU,1.0," R$ 30,00 ",30.0
9786558240433.0,2024-07-25,27.0,EDUFU,1.0," R$ 50,00 ",50.0
9786558240228.0,2024-08-05,28.0,EDUFU,1.0," R$ 30,00 ",30.0
9786558240327.0,2024-08-05,29.0,EDUFU,1.0," R$ 30,00 ",30.0
9786558240228.0,2024-08-05,30.0,EDUFU,1.0," R$ 30,00 ",30.0
9788570784032.0,2024-08-06,31.0,EDUFU,1.0," R$ 33,33 ",33.33
9788570784032.0,2024-08-09,32.0,EDUFU,1.0," R$ 33,33 ",33.33
9786558240433.0,2024-08-29,33.0,EDUFU,4.0," R$ 50,00 ",200.0
9788570785145.0,2024-08-29,33.0,EDUFU,4.0," R$ 53,33 ",213.32
9786558240228.0,2024-08-29,33.0,EDUFU,4.0," R$ 30,00 ",120.0
9786588055045.0,2024-08-29,33.0,EDUFU,4.0," R$ 50,00 ",200.0
9786588055014.0,2024-08-29,33.0,EDUFU,4.0," R$ 63,67 ",254.68
9786588055052.0,2024-08-29,33.0,EDUFU,4.0," R$ 40,00 ",160.0
9786558240235.0,2024-08-29,33.0,EDUFU,4.0," R$ 40,00 ",160.0
9786588055021.0,2024-08-29,33.0,EDUFU,4.0," R$ 40,00 ",160.0
9786588055038.0,2024-08-29,33.0,EDUFU,4.0," R$ 56,67 ",226.68
9788570784087.0,2024-08-30,34.0,EDUFU,1.0," R$ 36,67 ",36.67
9788570783080.0,2024-08-30,34.0,EDUFU,1.0," R$ 36,67 ",36.67
9786558240433.0,2024-08-30,34.0,EDUFU,1.0," R$ 50,00 ",50.0
9786558240433.0,2024-08-30,35.0,EDUFU,3.0," R$ 50,00 ",150.0
9786558240433.0,2024-08-30,36.0,EDUFU,1.0," R$ 50,00 ",50.0
9786588055038.0,2024-08-30,36.0,EDUFU,1.0," R$ 56,67 ",56.67
9786558240228.0,2024-08-30,36.0,EDUFU,1.0," R$ 30,00 ",30.0
9788570783653.0,2024-08-30,37.0,EDUFU,1.0," R$ 26,67 ",26.67
9780000000000.0,2024-08-30,37.0,EDUFU,2.0," R$ 5,00 ",10.0
9786558240433.0,2024-08-30,37.0,EDUFU,1.0," R$ 50,00 ",50.0
9786558240228.0,2024-08-30,37.0,EDUFU,3.0," R$ 30,00 ",90.0
9788570781550.0,2024-09-04,38.0,EDUFU,1.0," R$ 33,33 ",33.33
9786558240228.0,2024-09-04,39.0,EDUFU,1.0," R$ 30,00 ",30.0
9786588055045.0,2024-09-04,39.0,EDUFU,1.0," R$ 50,00 ",50.0
9780000000000.0,2024-09-04,39.0,EDUFU,3.0," R$ 5,00 ",15.0
9788570784926.0,2024-09-06,40.0,EDUFU,1.0," R$ 60,00 ",60.0
9786557110416.0,2024-09-24,41.0,UNESP,1.0," R$ 35,20 ",35.2
9788539307852.0,2024-09-24,41.0,UNESP,1.0," R$ 52,00 ",52.0
9788539303656.0,2024-09-24,41.0,UNESP,1.0," R$ 55,20 ",55.2
9786557110577.0,2024-09-24,42.0,UNESP,1.0," R$ 46,40 ",46.4
9786557110386.0,2024-09-24,43.0,UNESP,1.0," R$ 36,80 ",36.8
