ISBN;TITULO;AUTOR;ASSUNTO;EDITORA;CAPA;DESCONTO;EX
9780000000000;PROMOCIONAL;PROMOCIONAL;NULL;EDUFU;R$ 5,00;R$ 5,00;467
9788570782113;A CLARA COR DA NOITE ESCURA: ESCRITOS E IMAGENS DE MULHERES E HOMENS NEGROS EM GOIAS E EM MINAS GERAIS;CARLOS RODRIGUES BRANDAO;SOCIOLOGIA;EDUFU;R$ 65,00;R$ 43,33;1
9788570784131;A DIVINACAO;BRUNO FREGNI BASSETTO;FILOSOFIA;EDUFU;R$ 55,00;R$ 36,67;100
9786558240433;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);RAQUEL DISCINI DE CAMPOS;EDUCACAO;EDUFU;R$ 75,00;R$ 50,00;228
9788570784124;A ETICA DE PEDRO ABELARDO: UM MODELO MEDIEVAL DE APLICACAO DA LOGICA A MORAL;MARCIO CHAVES-TANNUS;FILOSOFIA;EDUFU;R$ 40,00;R$ 26,67;5
9786588055021;A EXPRESSAO DA ANTERIORIDADE TEMPORAL EM ESPANHOL: UMA ANALISE SOCIOLINGUISTICA;LEANDRO SILVEIRA DE ARAUJO;NULL;EDUFU;R$ 60,00;R$ 40,00;29
9788570784711;A FORMACAO DO PROFESSOR DE CIENCIAS SOCIAIS: DESAFIOS E POSSIBILIDADES;MARCEL MAMO, MARILI PERES JUNQUEIRA;SOCIOLOGIA;EDUFU;R$ 40,00;R$ 26,67;27
9786588055038;A IGREJA COMO PODER ECLESIASTICO E CIVIL EM THOMAS HOBBES;WAGNER DE MELLO ELIAS;NULL;EDUFU;R$ 85,00;R$ 56,67;181
9788570784087;A NATUREZA DOS DEUSES;MARCOS TULIO CICERO;FILOSOFIA;EDUFU;R$ 55,00;R$ 36,67;4
9786558240228;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";ANSELMO TADEU FERREIRA;FILOSOFIA;EDUFU;R$ 45,00;R$ 30,00;144
9788570784780;ANALISAR DISCURSOS INSTITUCIONAIS;ALICE KRIEG-PLANQUE;LINGUISTICA;EDUFU;R$ 75,00;R$ 50,00;142
9788570785145;AS LEIS (IMPRESSO);MARCOS TULIO CICERO;FILOSOFIA;EDUFU;R$ 80,00;R$ 53,33;151
9788570783080;DISCUSSOES TUSCULANAS;MARCOS TULIO CICERO;FILOSOFIA;EDUFU;R$ 55,00;R$ 36,67;149
9788570780672;DONA BEJA: DESVENDANDO O MITO;ROSA MARIA SPINOSO DE MONTANDON;HISTORIA;EDUFU;R$ 45,00;R$ 30,00;0
9788570783653;EDUCACAO A DISTANCIA NO BRASIL: A PEDAGOGIA EM FOCO: VOLUME 2;EUCIDIO PIMENTA ARRUDA;EDUCACAO;EDUFU;R$ 40,00;R$ 26,67;0
9786558240259;ENSAIOS SOBRE LINGUA E LINGUAGEM (HUMBOLDT);WILHELM VON HUMBOLDT;LINGUISTICA;EDUFU;R$ 95,50;R$ 63,67;160
9786588055014;ENSINANDO A TRADUCAO: PROGRAMAS, DISCIPLINAS E ABORDAGENS PEDAGOGICAS;LAWRENCE VENUTTI;LINGUISTICA;EDUFU;R$ 95,50;R$ 63,67;105
