ISBN;DATA;N-NF;AUTOR;TITULO;Editora;EXEMPLARES; PREÇO VENDA ;TOTAL;
;;;;;;;;;
9788570784780;05/06/2024;1;ALICE KRIEG-PLANQUE;ANALISAR DISCURSOS INSTITUCIONAIS;EDUFU;1; R$ 50,00 ;R$ 50,00;
9786558240228;09/07/2024;2;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;2; R$ 30,00 ;R$ 60,00;
9786558240433;06/06/2024;2;RAQUEL DISCINI DE CAMPOS;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);EDUFU;1; R$ 50,00 ;R$ 50,00;
9786558240228;09/07/2024;3;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9786588055038;01/07/2024;4;WAGNER DE MELLO ELIAS;A IGREJA COMO PODER ECLESIASTICO E CIVIL EM THOMAS HOBBES;EDUFU;1; R$ 56,67 ;R$ 56,67;
9786558240433;04/07/2024;5;RAQUEL DISCINI DE CAMPOS;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);EDUFU;1; R$ 50,00 ;R$ 50,00;
9786558240327;04/07/2024;6;RENATA NEIVA;PEDAGOGIAS DA BELEZA;EDUFU;1; R$ 30,00 ;R$ 30,00;
9786558240082;04/07/2024;7;BETANIA DE OLIVEIRA LATERZA RIBEIRO;NA LUTA PELA VIDA, UTEIS A SI E A PATRIA;EDUFU;1; R$ 33,33 ;R$ 33,33;
9780000000000;04/07/2024;8;PROMOCIONAL;PROMOCIONAL;EDUFU;1; R$ 5,00 ;R$ 5,00;
9786588055045;04/07/2024;9;CHARLES SANDERS PEIRCE E CASSIANO TERRA RODRIGUES;ESCRITOS DA SERIE COGNITIVA;EDUFU;1; R$ 50,00 ;R$ 50,00;
9786558240228;04/07/2024;10;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;3; R$ 30,00 ;R$ 90,00;
9786558240228;04/07/2024;13;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9786558240051;04/07/2024;13;WILHELM VON HUMBOLDT;SOBRE LINGUA E LINGUAGEM;EDUFU;1; R$ 63,67 ;R$ 63,67;
9786558240228;04/07/2024;14;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;3; R$ 30,00 ;R$ 90,00;
9786558240228;04/07/2024;15;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9786558240228;04/07/2024;16;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;3; R$ 30,00 ;R$ 90,00;
9786558240228;08/07/2024;17;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;4; R$ 30,00 ;R$ 120,00;
9786558240228;09/07/2024;18;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;2; R$ 30,00 ;R$ 60,00;
9786558240228;09/07/2024;19;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9786558240228;09/07/2024;20;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9786558240228;09/07/2024;21;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9786558240433;09/07/2024;22;RAQUEL DISCINI DE CAMPOS;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);EDUFU;1; R$ 50,00 ;R$ 50,00;
9780000000000;09/07/2024;23;PROMOCIONAL;PROMOCIONAL;EDUFU;1; R$ 5,00 ;R$ 5,00;
9786558240228;09/07/2024;24;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;2; R$ 30,00 ;R$ 60,00;
9786558240228;17/07/2024;25;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9786558240228;19/07/2024;26;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9786558240433;25/07/2024;27;RAQUEL DISCINI DE CAMPOS;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);EDUFU;1; R$ 50,00 ;R$ 50,00;
9786558240228;05/08/2024;28;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9786558240327;05/08/2024;29;RENATA NEIVA;PEDAGOGIAS DA BELEZA;EDUFU;1; R$ 30,00 ;R$ 30,00;
9786558240228;05/08/2024;30;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9788570784032;06/08/2024;31;HELIO SIQUEIRA AIDAR;VAMOS AO LABORATORIO? EXPERIENCIA DE QUIMICA PARA O ENSINO MEDIO;EDUFU;1; R$ 33,33 ;R$ 33,33;
9788570784032;09/08/2024;32;HELIO SIQUEIRA AIDAR;VAMOS AO LABORATORIO? EXPERIENCIA DE QUIMICA PARA O ENSINO MEDIO;EDUFU;1; R$ 33,33 ;R$ 33,33;
9786558240433;29/08/2024;33;RAQUEL DISCINI DE CAMPOS;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);EDUFU;4; R$ 50,00 ;R$ 200,00;
9788570785145;29/08/2024;33;MARCOS TULIO CICERO;AS LEIS ;EDUFU;4; R$ 53,33 ;R$ 213,32;
9786558240228;29/08/2024;33;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;4; R$ 30,00 ;R$ 120,00;
9786588055045;29/08/2024;33;CHARLES SANDERS PEIRCE E CASSIANO TERRA RODRIGUES;ESCRITOS DA SERIE COGNITIVA;EDUFU;4; R$ 50,00 ;R$ 200,00;
9786588055014;29/08/2024;33;LAWRENCE VENUTTI;ENSINANDO A TRADUCAO: PROGRAMAS, DISCIPLINAS E ABORDAGENS PEDAGOGICAS;EDUFU;4; R$ 63,67 ;R$ 254,68;
9786588055052;29/08/2024;33;FERNANDO FERNANDES DE OLIVEIRA;GEOGRAFIA DE UMA CORPORACAO EM REDE: A TRAJETORIA ESPACO-TEMPORAL DO GRUPO ALGAR (1930-2019);EDUFU;4; R$ 40,00 ;R$ 160,00;
9786558240235;29/08/2024;33;JUSTINO MAGALHAES;NA ROTA DA EDUCACAO;EDUFU;4; R$ 40,00 ;R$ 160,00;
9786588055021;29/08/2024;33;LEANDRO SILVEIRA DE ARAUJO;A EXPRESSAO DA ANTERIORIDADE TEMPORAL EM ESPANHOL: UMA ANALISE SOCIOLINGUISTICA;EDUFU;4; R$ 40,00 ;R$ 160,00;
9786588055038;29/08/2024;33;WAGNER DE MELLO ELIAS;A IGREJA COMO PODER ECLESIASTICO E CIVIL EM THOMAS HOBBES;EDUFU;4; R$ 56,67 ;R$ 226,68;
9788570784087;30/08/2024;34;MARCOS TULIO CICERO;A NATUREZA DOS DEUSES;EDUFU;1; R$ 36,67 ;R$ 36,67;
9788570783080;30/08/2024;34;MARCOS TULIO CICERO;DISCUSSOES TUSCULANAS;EDUFU;1; R$ 36,67 ;R$ 36,67;
9786558240433;30/08/2024;34;RAQUEL DISCINI DE CAMPOS;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);EDUFU;1; R$ 50,00 ;R$ 50,00;
9786558240433;30/08/2024;35;RAQUEL DISCINI DE CAMPOS;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);EDUFU;3; R$ 50,00 ;R$ 150,00;
9786558240433;30/08/2024;36;RAQUEL DISCINI DE CAMPOS;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);EDUFU;1; R$ 50,00 ;R$ 50,00;
9786588055038;30/08/2024;36;WAGNER DE MELLO ELIAS;A IGREJA COMO PODER ECLESIASTICO E CIVIL EM THOMAS HOBBES;EDUFU;1; R$ 56,67 ;R$ 56,67;
9786558240228;30/08/2024;36;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9788570783653;30/08/2024;37;EUCIDIO PIMENTA ARRUDA;EDUCACAO A DISTANCIA NO BRASIL: A PEDAGOGIA EM FOCO: VOLUME 2;EDUFU;1; R$ 26,67 ;R$ 26,67;
9780000000000;30/08/2024;37;PROMOCIONAL;PROMOCIONAL;EDUFU;2; R$ 5,00 ;R$ 10,00;
9786558240433;30/08/2024;37;RAQUEL DISCINI DE CAMPOS;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);EDUFU;1; R$ 50,00 ;R$ 50,00;
9786558240228;30/08/2024;37;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;3; R$ 30,00 ;R$ 90,00;
9788570781550;04/09/2024;38;GILBERTO CEZAR DE NORONHA;JOAQUINA DO POMPEU: TRAMAS DE MEMORIAS E HISTORIAS NOS SERTOES DO SAO FRANCISCO;EDUFU;1; R$ 33,33 ;R$ 33,33;
9786558240228;04/09/2024;39;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9786588055045;04/09/2024;39;CHARLES SANDERS PEIRCE E CASSIANO TERRA RODRIGUES;ESCRITOS DA SERIE COGNITIVA;EDUFU;1; R$ 50,00 ;R$ 50,00;
9780000000000;04/09/2024;39;PROMOCIONAL;PROMOCIONAL;EDUFU;3; R$ 5,00 ;R$ 15,00;
9788570784926;06/09/2024;40;CARLOS HENRIQUE DE CARVALHO;HISTORIA DA EDUCACAO EM MINAS GERAIS;EDUFU;1; R$ 60,00 ;R$ 60,00;
9786557110416;24/09/2024;41;ARTHUR SCHOPENHAUER;SOBRE A LIBERDADE DA VONTADE ;UNESP;1; R$ 35,20 ;R$ 35,20;
9788539307852;24/09/2024;41;ARISTOTELES;CATEGORIAS ;UNESP;1; R$ 52,00 ;R$ 52,00;
9788539303656;24/09/2024;41;HANS JOAS;SACRALIDADE DA PESSOA, A ;UNESP;1; R$ 55,20 ;R$ 55,20;
9786557110577;24/09/2024;42;JUDITH BUTLER;DISCURSO DE ODIO ;UNESP;1; R$ 46,40 ;R$ 46,40;
9786557110386;24/09/2024;43;T. H. MARSHALL, TOM BOTTOMORE;CIDADANIA E CLASSE SOCIAL ;UNESP;1; R$ 36,80 ;R$ 36,80;
9788539305063;24/09/2024;43;TZVETAN TODOROV;VIDA EM COMUM, A ;UNESP;1; R$ 51,20 ;R$ 51,20;
9786558240433;24/09/2024;45;RAQUEL DISCINI DE CAMPOS;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);EDUFU;1; R$ 50,00 ;R$ 50,00;
9788571395497;24/09/2024;45;AYERBE, LUIS FERNANDO;REVOLUCAO CUBANA, A;UNESP;1; R$ 30,40 ;R$ 30,40;
9786588055045;24/09/2024;46;CHARLES SANDERS PEIRCE E CASSIANO TERRA RODRIGUES;ESCRITOS DA SERIE COGNITIVA;EDUFU;1; R$ 50,00 ;R$ 50,00;
9786558240228;24/09/2024;47;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9788570784087;24/09/2024;48;MARCOS TULIO CICERO;A NATUREZA DOS DEUSES;EDUFU;1; R$ 36,67 ;R$ 36,67;
9786558240228;24/09/2024;49;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;1; R$ 30,00 ;R$ 30,00;
9786558240228;25/09/2024;50;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;5; R$ 30,00 ;R$ 150,00;
9786588055045;25/09/2024;50;CHARLES SANDERS PEIRCE E CASSIANO TERRA RODRIGUES;ESCRITOS DA SERIE COGNITIVA;EDUFU;5; R$ 50,00 ;R$ 250,00;
9786558240433;27/09/2024;52;RAQUEL DISCINI DE CAMPOS;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);EDUFU;2; R$ 50,00 ;R$ 100,00;
9786588055052;27/09/2024;52;FERNANDO FERNANDES DE OLIVEIRA;GEOGRAFIA DE UMA CORPORACAO EM REDE: A TRAJETORIA ESPACO-TEMPORAL DO GRUPO ALGAR (1930-2019);EDUFU;3; R$ 40,00 ;R$ 120,00;
9788570785145;27/09/2024;52;MARCOS TULIO CICERO;AS LEIS ;EDUFU;3; R$ 53,33 ;R$ 159,99;
9786558240228;27/09/2024;52;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;3; R$ 30,00 ;R$ 90,00;
9786588055021;27/09/2024;52;LEANDRO SILVEIRA DE ARAUJO;A EXPRESSAO DA ANTERIORIDADE TEMPORAL EM ESPANHOL: UMA ANALISE SOCIOLINGUISTICA;EDUFU;4; R$ 40,00 ;R$ 160,00;
9786588055038;27/09/2024;52;WAGNER DE MELLO ELIAS;A IGREJA COMO PODER ECLESIASTICO E CIVIL EM THOMAS HOBBES;EDUFU;4; R$ 56,67 ;R$ 226,68;
9786588055014;27/09/2024;52;LAWRENCE VENUTTI;ENSINANDO A TRADUCAO: PROGRAMAS, DISCIPLINAS E ABORDAGENS PEDAGOGICAS;EDUFU;4; R$ 63,67 ;R$ 254,68;
9786588055045;27/09/2024;52;CHARLES SANDERS PEIRCE E CASSIANO TERRA RODRIGUES;ESCRITOS DA SERIE COGNITIVA;EDUFU;4; R$ 50,00 ;R$ 200,00;
9786558240235;27/09/2024;52;JUSTINO MAGALHAES;NA ROTA DA EDUCACAO;EDUFU;4; R$ 40,00 ;R$ 160,00;
9786588055052;27/09/2024;53;FERNANDO FERNANDES DE OLIVEIRA;GEOGRAFIA DE UMA CORPORACAO EM REDE: A TRAJETORIA ESPACO-TEMPORAL DO GRUPO ALGAR (1930-2019);EDUFU;1; R$ 40,00 ;R$ 40,00;
9788570784766;27/09/2024;54;THIAGO DESTRO ROSA FERREIRA;MITOS DA TERRA-MEDIA: MITOLOGIA E MODERNIDADE NA OBRA DE J.R.R. TOLKIEN;EDUFU;1; R$ 26,67 ;R$ 26,67;
9786558240228;30/09/2024;55;ANSELMO TADEU FERREIRA;"A NOCAO DE ALMA NA ""SUMA DE TEOLOGIA"" DE TOMAS DE AQUINO";EDUFU;5; R$ 30,00 ;R$ 150,00;
9786588055045;30/09/2024;56;CHARLES SANDERS PEIRCE E CASSIANO TERRA RODRIGUES;ESCRITOS DA SERIE COGNITIVA;EDUFU;5; R$ 50,00 ;R$ 250,00;
9780000000000;30/09/2024;57;PROMOCIONAL;PROMOCIONAL;EDUFU;2; R$ 5,00 ;R$ 10,00;
9786557112380;30/09/2024;57;ROGER CHARTIER;MAPAS E FICCOES ;UNESP;1; R$ 55,20 ;R$ 55,20;
9780000000000;30/09/2024;58;PROMOCIONAL;PROMOCIONAL;EDUFU;1; R$ 5,00 ;R$ 5,00;
9786588055045;01/10/2024;60;CHARLES SANDERS PEIRCE E CASSIANO TERRA RODRIGUES;ESCRITOS DA SERIE COGNITIVA;EDUFU;1; R$ 50,00 ;R$ 50,00;
9780000000000;03/10/2024;61;PROMOCIONAL;PROMOCIONAL;EDUFU;1; R$ 5,00 ;R$ 5,00;
9788539304059;04/10/2024;62;ARISTOTELES;DA INTERPRETACAO ;UNESP;1; R$ 45,60 ;R$ 45,60;
9788571399396;04/10/2024;62;GALILEU GALILEI;CIENCIA E FE - 2. EDICAO ;UNESP;1; R$ 36,00 ;R$ 36,00;
9780000000000;04/10/2024;63;PROMOCIONAL;PROMOCIONAL;EDUFU;1; R$ 5,00 ;R$ 5,00;
9788570783851;04/10/2024;64;RUBENS DARIO FUCHS;TRANSMISSAO DE ENERGIA ELETRICA;EDUFU;1; R$ 50,00 ;R$ 50,00;
9786558240327;04/10/2024;65;RENATA NEIVA;PEDAGOGIAS DA BELEZA;EDUFU;1; R$ 30,00 ;R$ 30,00;
9786588055052;04/10/2024;65;FERNANDO FERNANDES DE OLIVEIRA;GEOGRAFIA DE UMA CORPORACAO EM REDE: A TRAJETORIA ESPACO-TEMPORAL DO GRUPO ALGAR (1930-2019);EDUFU;1; R$ 40,00 ;R$ 40,00;
9786558240433;04/10/2024;65;RAQUEL DISCINI DE CAMPOS;A EDUCACAO ENTRE A ETICA E A ESTETICA: OS ALBUNS ILUSTRADOS PAULISTAS (1915-1929);EDUFU;2; R$ 50,00 ;R$ 100,00;
9786558581086;04/10/2024;66;"STUART HALL ; LIV SOVIK";DA DIASPORA - IDENTIDADES E MEDIACOES CULTURAIS;UFMG;1; R$ 52,00 ;R$ 52,00;
9788539301133;07/10/2024;67;ILYA PRIGOGINE;FIM DAS CERTEZAS - 2. EDICAO, ;UNESP;1; R$ 49,60 ;R$ 49,60;
9786557111543;07/10/2024;67;THOMAS S. KUHN, BOJANA MLADENOVIC (ORG.);INCOMENSURABILIDADE NA CIENCIA ;UNESP;1; R$ 68,80 ;R$ 68,80;
9786557112281;07/10/2024;68;JAMES NAYLOR GREEN;ESCRITOS DE UM VIADO VERMELHO ;UNESP;1; R$ 78,40 ;R$ 78,40;
9788570784704;07/10/2024;68;HELIO BENICIO DE PAIVA;MEMORIAS, HISTORIAS E CRONICAS TIJUCANAS;EDUFU;1; R$ 40,00 ;R$ 40,00;
9786558240327;07/10/2024;68;RENATA NEIVA;PEDAGOGIAS DA BELEZA;EDUFU;1; R$ 30,00 ;R$ 30,00;
9788542302448;07/10/2024;69;"RICARDO FABRINO MENDONCA; ELEONORA SCHETTINI MARTINS CUNHA";INTRODUCAO A TEORIA DEMOCRATICA: CONCEITOS, HISTORIAS;UFMG;1; R$ 75,20 ;R$ 75,20;
9788570411501;07/10/2024;69;NADIA SOUKI;HANNAH ARENDT E A BANALIDADE DO MAL;UFMG;1; R$ 36,00 ;R$ 36,00;
9788542302080;07/10/2024;69;"JOSE LUIZ BORGES HORTA ; KARINE SALGADO";HISTORIA, ESTADO E IDEALISMO ALEMAO;UFMG;1; R$ 33,60 ;R$ 33,60;
9788539305988;08/10/2024;70;ARTHUR SCHOPENHAUER;MUNDO COMO VONTADE E COMO REPR TOMO 2;UNESP;1; R$ 128,00 ;R$ 128,00;
9788539305629;08/10/2024;70;ARTHUR SCHOPENHAUER;MUNDO COMO VONTADE E COMO REPR TOMO 1;UNESP;1; R$ 107,20 ;R$ 107,20;
9788542302998;08/10/2024;71;ROBERTO ESPOSITO;DOIS: A MAQUINA DA TEOLOGIA POLITICA E O LUGAR DO PENSA;UFMG;1; R$ 54,40 ;R$ 54,40;
9788570414595;08/10/2024;71;GIORGIO AGAMBEN;INFANCIA E HISTORIA - DESTRUICAO DA EXPERIENCIA E ORIGE;UFMG;1; R$ 45,60 ;R$ 45,60;
9788570419965;08/10/2024;71;HENRI LEFEBVRE;ESPACO E POLITICA: O DIREITO A CIDADE II;UFMG;1; R$ 40,80 ;R$ 40,80;
9786588055045;08/10/2024;72;CHARLES SANDERS PEIRCE E CASSIANO TERRA RODRIGUES;ESCRITOS DA SERIE COGNITIVA;EDUFU;1; R$ 50,00 ;R$ 50,00;
9788570414779;08/10/2024;73;WALTER BENJAMIN;PASSAGENS;UFMG;1; R$ 237,60 ;R$ 237,60;
9788539307555;10/10/2024;74;RENE DESCARTES, PABLO RUBEN MARICONDA;DISCURSO DO METODO & ENSAIOS ;UNESP;1; R$ 110,40 ;R$ 110,40;
9786558581253;10/10/2024;75;GEORGES DIDI-HUBERMAN;PASSADOS CITADOS POR JEAN-LUC GODARD;UFMG;1; R$ 55,20 ;R$ 55,20;
9788570414595;10/10/2024;75;GIORGIO AGAMBEN;INFANCIA E HISTORIA - DESTRUICAO DA EXPERIENCIA E ORIGE;UFMG;1; R$ 45,60 ;R$ 45,60;
9788570783851;10/10/2024;77;RUBENS DARIO FUCHS;TRANSMISSAO DE ENERGIA ELETRICA;EDUFU;1; R$ 50,00 ;R$ 50,00;
9788570783851;10/10/2024;78;RUBENS DARIO FUCHS;TRANSMISSAO DE ENERGIA ELETRICA;EDUFU;1; R$ 50,00 ;R$ 50,00;
